ship_name,operator,url,callsign,IMO_number,MMSI_number,crew,capacity
Ocean Dream,Pullmantur Cruises,https://en.wikipedia.org/wiki/Ocean_Dream_(1972_ship),C6HK9,7915096,373297000,390,1027
Sovereign,Pullmantur Cruises,https://en.wikipedia.org/wiki/MS_Sovereign,9HUE9,8512281,249539000,820,2852
Zenith,Pullmantur Cruises,https://en.wikipedia.org/wiki/Zenith_(ship),9HXM8,8918136,256561000,620,1828
Pacific,Quail Cruises,https://en.wikipedia.org/wiki/Pacific_(ship),C6SB5,7018563,311245000,350,750
Ocean Adventurer,Quark Expeditions,https://www.vesselfinder.com/vessels/OCEAN-ADVENTURER-IMO-7391422-MMSI-309997000,C6PG6,7391422,309997000,87,132
Ocean Atlantic ,Quark Expeditions,https://www.vesselfinder.com/vessels/OCEAN-ATLANTIC-IMO-8325432-MMSI-311000422,C6CB6,8325432,311000422,140,198
Ocean Diamond,Quark Expeditions,https://www.vesselfinder.com/vessels/OCEAN-DIAMOND-IMO-7325629-MMSI-311063900,C6ZR5,7325629,311063900,106,251
Ocean Nova,Quark Expeditions,https://www.vesselfinder.com/vessels/OCEAN-NOVA-IMO-8913916-MMSI-309051000,C6US3,8913916,309051000,38,78
Sea Spirit,Quark Expeditions,https://www.vesselfinder.com/vessels/SEA-SPIRIT-IMO-8802868-MMSI-309224000,C6PJ8,8802868,309224000,72,120
World Explorer,Quark Expeditions,https://www.vesselfinder.com/vessels/WORLD-EXPLORER-IMO-9835719-MMSI-255806193,CQAJ7,9835719,255806193,125,176
Paul Gauguin,Regent Seven Seas Cruises,https://en.wikipedia.org/wiki/Paul_Gauguin_(ship),C6TH9,9111319,311652000,215,352
Seven Seas Explorer,Regent Seven Seas Cruises,https://www.vesselfinder.com/vessels/SEVEN-SEAS-EXPLORER-IMO-9703150-MMSI-538006712,V7QK9,9703150,538006712,542,829
Seven Seas Mariner,Regent Seven Seas Cruises,https://en.wikipedia.org/wiki/Seven_Seas_Mariner,C6VV8,9210139,311622000,445,779
Seven Seas Navigator,Regent Seven Seas Cruises,https://en.wikipedia.org/wiki/Seven_Seas_Navigator,C6ZI9,9064126,311050600,340,557
Seven Seas Voyager,Regent Seven Seas Cruises,https://en.wikipedia.org/wiki/Seven_Seas_Voyager,C6SW3,9247144,311513000,447,777
The World,ROW Management,https://en.wikipedia.org/wiki/MS_The_World,C6RW4,9219331,311213000,280,200
Adonia,Royal Caribbean,https://en.wikipedia.org/wiki/MV_Adonia,9HA4800,9210220,248762000,400,777
Adventure of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/MS_Adventure_of_the_Seas,C6SA3,9167227,311263000,1180,4058
Allure of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Allure_of_the_Seas,C6XS8,9383948,311020700,2200,6780
Anthem of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Anthem_of_the_Seas,C6BI7,9656101,311000274,1300,4905
Brilliance of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/MS_Brilliance_of_the_Seas,C6SJ5,9195200,311361000,859,2580
Empress of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Empress_of_the_Seas,C6CM8, 8716899,311000515,671,1910
Enchantment of the Seas,Royal Caribbean,https://en.wikipedia.org/wiki/Enchantment_of_the_Seas,C6FZ7,9111802,311733000,770,2746
